52 347
52 327
155 1020
155 1142
155 873
155 998
155 940
54 520
54 423
54 392
54 423
54 394
142 740
142 1103
142 722
142 925
142 871
299 1744
299 2038
299 1414
299 1861
299 1726
64 503
64 479
64 515
64 446
64 416
280 1320
280 1497
280 1318
280 1282
280 1254
235 1102
235 1248
235 1154
235 1090
235 1080
89 480
89 597
89 512
89 478
89 458
142 927
142 904
142 878
142 932
142 915
67 497
67 433
67 468
67 508
67 454
172 1184
172 792
172 824
172 1195
172 1140
189 1185
189 1285
189 1118
189 1176
189 1128
118 764
118 960
118 773
118 820
118 568
281 2115
281 1859
281 1716
281 1710
281 1650
73 533
73 614
73 516
73 518
73 499
95 809
95 675
95 480
95 666
95 649
269 1212
269 1361
269 1296
269 1197
269 1199
32 235
32 230
32 222
32 223
32 200
228 1343
228 1215
228 1115
228 1352
228 1305
26 240
26 219
26 225
26 230
26 218
118 906
118 724
118 624
118 762
118 737
204 1058
204 1160
204 1150
204 982
204 958
31 238
31 234
31 229
31 268
31 239
33 304
33 316
33 303
33 305
33 266
179 1008
179 909
179 993
179 1100
179 887
95 681
95 486
95 541
95 679
95 673
96 772
96 811
96 753
96 727
96 699
177 855
177 831
177 858
177 1143
177 825
169 1067
169 1074
169 1049
169 1112
169 1069
10 118
10 116
10 124
10 108
10 96
242 1513
242 1336
242 1487
242 1578
242 1124
227 1057
227 1071
227 1091
227 1404
227 1039
235 1116
235 1158
235 1177
235 1090
235 1067
4 82
4 78
4 83
4 65
4 71
158 1167
158 1254
158 1173
158 1065
158 1005
32 264
32 251
32 234
32 254
32 254
39 405
39 373
39 396
39 331
39 313
227 1075
227 1061
227 1119
227 1423
227 1021
241 1557
241 1392
241 1158
241 1545
241 1504
137 997
137 859
137 990
137 823
137 818
158 1222
158 1005
158 783
158 1014
158 973
32 309
32 298
32 259
32 285
32 273
76 544
76 535
76 459
76 495
76 452
206 1085
206 1364
206 1117
206 1259
206 946
30 317
30 311
30 310
30 251
30 227
294 1801
294 1448
294 1444
294 1828
294 1746
68 366
68 513
68 374
68 483
68 451
231 1507
231 1452
231 1400
231 1468
231 1482
292 1743
292 2000
292 1441
292 1803
292 1716
175 1292
175 1335
175 1221
175 1178
175 1112
297 1777
297 1734
297 1766
297 1357
297 1353
177 1193
177 1211
177 1152
177 1123
177 1090
40 355
40 299
40 288
40 323
40 282
244 1157
244 1427
244 1203
244 1132
244 1130
25 254
25 227
25 253
25 219
25 193
80 683
80 606
80 529
80 548
80 534
77 588
77 533
77 464
77 585
77 522
236 1898
236 1823
236 1762
236 1535
236 1517
56 463
56 426
56 402
56 372
56 356
250 1503
250 1566
250 1208
250 1585
250 1537
160 974
160 880
160 952
160 1048
160 786
133 1083
133 762
133 725
133 865
133 864
293 1865
293 1873
293 1589
293 1742
293 1674
40 364
40 339
40 338
40 302
40 281
199 1058
199 1165
199 1025
199 1298
199 987
179 1161
179 949
179 860
179 1141
179 1131
19 204
19 195
19 204
19 194
19 179
176 1359
176 1382
176 1310
176 1123
176 1078
101 802
101 742
101 604
101 697
101 649
34 308
34 281
34 285
34 274
34 244
208 1304
208 1110
208 1281
208 1299
208 966
33 317
33 287
33 310
33 291
33 255
225 1593
225 1321
225 1338
225 1396
225 1298
258 1598
258 1385
258 1206
258 1630
258 1590
238 1118
238 1283
238 1154
238 1127
238 1080
133 979
133 832
133 808
133 861
133 831
162 1086
162 1053
162 1057
162 762
162 781
83 589
83 447
83 487
83 542
83 533
290 1747
290 1948
290 1361
290 1803
290 1709
243 1549
243 1516
243 1512
243 1552
243 1535
37 304
37 307
37 331
37 256
37 260
143 668
143 763
143 720
143 931
143 660
183 1224
183 1264
183 1164
183 1207
183 1118
191 1132
191 1124
191 1148
191 1167
191 1140
43 437
43 376
43 424
43 356
43 328
66 580
66 496
66 529
66 511
66 510
196 932
196 1026
196 989
196 1260
196 910
191 1213
191 1381
191 1289
191 1197
191 1115
176 1099
176 929
176 882
176 835
176 845
147 1047
147 1046
147 995
147 985
147 957
138 829
138 760
138 711
138 858
138 820
299 1769
299 1794
299 1741
299 1400
299 1382
20 208
20 226
20 182
20 181
20 168
224 1048
224 1198
224 1102
224 1022
224 1010
105 518
105 692
105 528
105 645
105 512
271 1402
271 1449
271 1469
271 1275
271 1238
268 1248
268 1684
268 1289
268 1246
268 1205
77 606
77 602
77 625
77 485
77 462
193 1471
193 1128
193 1150
193 1314
193 1203
216 1381
216 1692
216 1391
216 1062
216 1010
137 873
137 1038
137 876
137 878
137 847
118 568
118 726
118 585
118 778
118 580
127 811
127 859
127 826
127 868
127 603
128 626
128 776
128 657
128 623
128 598
93 746
93 719
93 655
93 634
93 588
88 655
88 521
88 553
88 561
88 553
225 1383
225 1106
225 1127
225 1424
225 1356
37 362
37 324
37 321
37 311
37 253
14 154
14 131
14 144
14 135
14 123
154 1298
154 1195
154 1019
154 1052
154 1024
296 1340
296 1285
296 1411
296 1824
296 1283
250 1418
250 1508
250 1454
250 1485
250 1429
202 1272
202 1319
202 1345
202 1242
202 1251
86 573
86 503
86 520
86 565
86 547
49 361
49 298
49 290
49 366
49 354
191 1524
191 1237
191 1299
191 1211
191 1177
112 584
112 805
112 658
112 560
112 539
280 1322
280 1689
280 1345
280 1729
280 1270
129 790
129 639
129 646
129 810
129 761
136 822
136 925
136 704
136 873
136 797
104 803
104 813
104 716
104 701
104 658
106 842
106 843
106 806
106 751
106 701
102 593
102 808
102 541
102 562
102 554
297 1893
297 1801
297 1883
297 1398
297 1419
55 479
55 483
55 420
55 427
55 383
236 1492
236 1733
236 1503
236 1528
236 1459
149 1006
149 1046
149 980
149 1006
149 958
100 676
100 744
100 538
100 660
100 617
193 885
193 1228
193 919
193 1299
193 1228
71 497
71 494
71 490
71 492
71 457
122 1032
122 784
122 856
122 807
122 750
191 912
191 1299
191 921
191 1224
191 897
223 1369
223 1349
223 1149
223 1361
223 1358
230 1399
230 1535
230 1121
230 1367
230 1352
278 1424
278 1426
278 1359
278 1800
278 1316
128 959
128 904
128 657
128 857
128 806
132 645
132 710
132 697
132 654
